ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,7211,,"Grazie di tutto. La polizia non sapeva nemmeno
da dove cominciare con questa storia.","這次也多虧你了。
這樣奇妙的事件，警察不可能有辦法解決啊。",,"이번에도 신세를 졌습니다.
이런 이상한 사건, 경찰은 도저히 해결할 수 없었습니다","Danke für alles. Die Polizei wusste überhaupt
nicht, wie sie den Fall anpacken sollte."
2,7211,,"Abbiamo ripreso i nostri annunci. Tutto è tornato
alla normalità ora.","館內廣播也能重新撥放了，
這樣就能安心為顧客導覽了。",,"관내 방송도 무사히 재개했으니
이제 안심하고 관람객들을 안내해드릴 수 있습니다","Wir haben unsere Ankündigungen wieder aufgenommen.
Jetzt ist wieder alles beim Alten."
3,7211,,Eh? Sei preoccupato per Plesiomon?,嗯？你在擔心蛇頸龍獸的事嗎？,,음? 플레시오몬이 걱정되시나요?,Was? Machst du dir Sorgen um Plesiomon?
4,7211,,Ci ha dato davvero un sacco di problemi.,給我們添麻煩這件事，的確要求他要再注意了……,,"그야 피해를 본 일에 대해서는
주의를 했지만……",Es hat uns wirklich eine Menge Probleme gemacht.
5,7211,,"Ma ora va tutto bene. Ed era molto dispiaciuto.
Ora so che veniva usato da qualcuno.","沒問題的。他很客氣的道過歉了，
而且也知道他只是被人利用而已。",,"괜찮습니다. 그는 정중히 사과했고
남에게 이용당했다는 것을 알았으니 말이지요","Aber jetzt ist alles gut. Er hat sich immer wieder
entschuldigt. Ich weiß, dass jemand es benutzt
hat."
6,7211,,"E naturalmente ha promesso che non farà più
cose del genere. L'ho perdonato.",當然，和他約好不會再做這種事之後就原諒他了。,,"물론, 두 번 다시 이런 일은 하지 않겠다는 약속을 하고
용서해줬습니다","Natürlich hat es versprochen, das nie wieder zu
tun. Ich habe ihm vergeben."
7,7211,,"A proposito, so chi è l'hacker che ha usato
Plesiomon.",對了對了，利用蛇頸龍獸的駭客身份查出來了。,,"그렇지, 플레시오몬을 이용했던
해커의 신원도 알았습니다","Ich weiß übrigens, welcher Hacker es war, der
Plesiomon benutzt hat."
8,2020,,!!!,！！,,!!,!!!
9,7211,,"Ho provato a parlargli, ma si è arrabbiato e ha detto
che sono io il cattivo per aver gestito un posto che rende
le persone infelici.","只是……和他交涉時，
他反過來還對我們發怒……
說：「全都是讓人不高興的水族館的錯。」",,"다만……이야기를 하려고 했지만
「사람을 불쾌하게 만드는 시설이 나쁘다」…며
적반하장으로 화를 내더군요","Ich habe versucht, mit ihm zu reden, aber er hält
mich für den Bösen, weil das Aquarium
angeblich Leute unglücklich macht."
10,7211,,"Con certe persone non si riesce a comunicare. Quel
Digimon era molto più ragionevole.","沒辦法溝通的人真的很讓人困擾，
那個數碼寶貝還比較懂事……",,"말이 통하지 않는 상대라서 난감했습니다.
그 디지몬 쪽이 훨씬 더 솔직하다고나 할까요…","Mit manchen Leuten kann man einfach nicht reden.
Das Digimon war viel vernünftiger."
