"ID","Speaker","Japanese","English","Chinese","EnglishCensored","Korean","German"
"1","4288","","Cosa? Non ci credo! È
un'indagine? Sei un poliziotto?","嗯？不會吧？咦？這該不會是在搜查？
你是警察那邊的人嗎？","","에, 거짓말… 어라? 이거, 혹시 수사?
너님, 경찰쪽 사람?","Was? Unmöglich! Bist du auf Spurensuche?
Bist du von der Polizei?"
"2","4288","","Oh, sei un ""cyber detective"".","什麼啊……是偵探啊？","","…뭐~야, 탐정인가","Ach, ein „Detektiv“."
"3","4288","","Allora, in tal caso, ho delle informazioni
per te. Ma non sono gratuite.","我是知道一些情報……
但可不能免費提供給你……","","그럼, 괜찮은 정보가 있는데…
맨입으로는 안 되겠는걸…","Dann habe ich ein paar Infos für dich.
Umsonst rücke ich die aber nicht raus."
"4","4288","","Non chiedo molto. Di certo non faccio
l'elemosina.","不，我並不是想要錢喔。","","아뇨, 딱히, 금품을 요구하겠다는 건
아니라구요?","Viel will ich dafür nicht. Auf gar keinen Fall
Geld oder so etwas."
"5","4288","","A dirti la verità, io... ehm... sono
innamorato. Un amore puro.","其實啊，我呢，那個……嗯……
“談戀愛”了！是場純純的“戀愛”。","","사실, 나님 말이죠? 저기, 그…
""사랑""을 하고 있거든요, 퓨어퓨어한 ""사랑""","Ganz ehrlich gesagt, bin ich ... äh, verliebt.
Ganz doll verliebt."
"6","4288","","È stato amore a prima vista per entrambi.","算是我們對彼此一見鍾情。","","정말이지, 서로 한눈에 반해 버렸다는 그거거든요?","Es war für uns beide Liebe auf den ersten Blick."
"7","4288","","Ora ti dico qualcosa di lei, ok?","可是她……","","하지만, 그녀님이 말이죠?","Aber jetzt pass auf, ich erzähl dir was über sie.
"
"8","4288","","È timida, ma forse è la prima volta che si innamora.
È così pura, come un dipinto che prende vita.","該說是太害羞了嗎？還是因為我是她的初戀呢……
她簡直就像“清純”二字從二次元走出來，化為立體的女性。","","부끄럼쟁이라고 할까요, 나님이 첫사랑 상대라고 할까요…
""청순""이 2차원에서 나와서 입체화한 것 같은 여성이거든요?","Sie ist schüchtern, vielleicht zum ersten Mal
verliebt. Sie ist völlig unbedarft."
"9","4288","","Ho provato a parlarle, ma le
parole non mi vengono.","所以就算我跟她說話，也不容易聊起來。","","말을 걸어도, 좀처럼 대화 성립이 안 되거든요","Ich habe versucht, mit ihr zu reden, aber mir
fehlen einfach die Worte."
"10","4288","","Ecco dove entri in gioco tu.
Voglio che tu vada a chiederle qualcosa.","所以我想請你～
去幫我問問看～","","…그러니까~ 너님이~
물어봐 줬으면 하거든요~","Da kommst du ins Spiel.
Ich möchte, dass du sie um etwas bittest."
