ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,2020,,"È successo qualche mese fa. Improvvisamente non riuscivo più ad
accedere a EDEN.","那是好幾個月前發生的事了，
我突然沒有辦法登入EDEN。",,"그것은 몇 개월 전의 일이었다.
갑자기 나는 EDEN에 로그인할 수 없게 되었다","Vor ein paar Monaten ist es passiert. Plötzlich
konnte ich mich nicht mehr in EDEN
einloggen."
2,2020,,Era un raid di account...l'atto di un hacker.,"起因是帳號狩獵，
……都是駭客幹得好事。",,"원인은 계정 사냥.
……해커의 짓이다","Es war ein Kontenraub ... Ein Hacker steckte
dahinter."
3,2020,,"Un mio amico esperto di internet mi aveva creato un account temporaneo, ma...","雖然請精通網路的朋友
幫我準備了一個臨時帳號……",,"네트워크를 잘 아는 친구가 임시 계정을 
준비해주었지만……","Ein Freund von mir, der sich damit auskennt,
hat einen temporären Account für mich
erstellt, aber ..."
4,2020,,"Al giorno d'oggi, il tuo account è come
il tuo documento d'identità. Perderlo significa che nessuno si fida di te.","但在現今，這以帳號取代身分證明的時代裡，
弄丟了帳號，同時也代表喪失他人的信賴。",,"요즘 시대에 신분 증명을 대신하는 계정을 잃는 것은
모든 신뢰를 잃어버린다는 것을 의미한다","Heutzutage ist ein Account quasi dein Ausweis.
Wenn du ihn verlierst, traut dir niemand."
5,2020,,"Avere un avatar temporaneo praticamente urla
""hacker"", capisci.","因為……使用臨時化身這件事，
就像公開向全天下承認自己是駭客一樣。",,"왜냐하면… 임시 아바타를 쓴다는 것 자체가
자신을 해커라고 공언하는 것과 다름없기 때문이다","Wenn man einen temporären Avatar hat, wird man
sofort für einen Hacker gehalten."
6,2020,,"Gli hacker cambiano account dopo ogni crimine. È
naturale che perdano i loro se vengono catturati.","駭客在犯案的時候都會換帳號，
如果被逮捕的話，被剝奪帳號是理所當然的……",,"해커는 범죄 행위를 할 때마다 계정을 바꾼다.
잡히면 당연히 계정은 박탈된다……","Nach jeder Tat wechseln die Hacker den Account.
Wenn sie erwischt werden, verlieren sie
ihren natürlich."
7,2020,,"Quindi quando ho perso il mio account, insegnanti e compagni di classe
hanno iniziato a sospettare che stessi hackerando, e ho cominciato a
odiare andare a scuola.","失去帳號之後，學校的老師和朋友們，
也都開始懷疑我是不是駭客。
漸漸的，我在學校的處境變得很艱難。",,"계정을 잃어버린 나는 학교 선생님이나 친구들로부터 
해커로 의심받아 결국 학교에 있을 수 없게 되었다","Als ich meinen Account verlor, hielten meine
Lehrer und Mitschüler mich für einen Hacker.
Die Schule machte keinen Spaß mehr."
8,2020,,Solo il mio migliore amico Yu credeva ancora in me.,唯一願意相信我的人，只有我最好的朋友優一個人。,,나를 믿어준 것은 절친한 친구 유우 뿐이었다,"Nur mein bester Freund, Yu, glaubte noch an mich."
9,2020,,Gli hacker mi hanno portato via la capacità di appartenere.,因為駭客害我失去了容身之處。,,해커 때문에 나는 있을 곳을 잃어버리고 말았다,"Die Hacker hatten mir meine Zugehörigkeit
genommen."
10,2020,,"...È stato allora che sono stato contattato da un hacker che si faceva
chiamare ""K.""","……就在那時，
一個自稱「K」的駭客主動聯絡了我。",,"……그 때였다.
""K""라고 자칭하는 해커로부터 연락을 받은 것은――","... Dann nahm ein Hacker namens „K“ Kontakt
zu mir auf."
11,3053,,So chi sembra aver violato il tuo account.,我啊，知道是誰狩獵了你的帳號。,,나는 네 계정을 사냥한 것으로 추정되는 인물을 알고 있다,"Ich weiß, wer allem Anschein nach dein
Konto gestohlen hat."
12,3053,,"Il suo nome è...""Youji Shiga."" Se vuoi riavere il tuo
account, dovrai vedertela con lui.","那個人的名字是……「志賀陽司」。
想要拿回你的帳號的話，就給他點顏色瞧瞧吧。",,"그 남자의 이름은……「시가 요우지」.
계정을 되찾고 싶다면 녀석에게 부딪쳐보는게 좋을걸","Sein Name ist ... „Youji Shiga“. Wenn du deinen
Account wiederhaben willst, musst du ihn
finden."
13,3053,,...Perché te lo sto dicendo? È semplice.,"……你說為什麼要告訴你這些？
理由很簡單。",,"……왜 이런 것을 너에게 알려주냐고?
그건 간단하지",... Warum ich dir das erzähle? Ganz einfach.
