ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,2020,,...!,……！,,……!,...!
2,1750,,Potrebbe essere quello?!,那、那個該不會就是……！,,"저, 저건 혹시…!",Könnte er das sein?!
3,3015,,Sì! Deve essere così!,"沒錯！　那一定就是
怪人數碼面相的寶藏資料！",,아아! 분명 저게 괴인 디지면상의 보물 데이터다!,Ja! Das muss er sein!
4,1750,,"Makiko, apri! Apri!",真希子，快點打開吧打開吧！,,"마키코, 열어봐 열어봐!","Makiko, mach auf! Mach schon auf!"
5,3015,,Okay!,好唷！　,,좋았어!,Okay!
6,3015,,Cosa?! È vuoto!,……！？　這是什麼，這不是空的嗎！,,"……!? 뭐냐 이건, 비어있잖아!",Was?! Da ist nichts drin!
7,2020,,...?!,……！？,,…!?,...?!
8,3015,,È una trappola? Non posso credere di esserci cascato!,"這也是什麼陷阱嗎……？
該死，被騙了嗎！",,"그것도 뭔가 함정이란 건가…?
젠장, 속았군!","Eine Falle? Nicht zu fassen, dass ich darauf
reingefallen bin!"
9,7159,,Ahahaha... Non è una trappola.,呵呵呵……這不是陷阱喔。,,후후후…함정이 아닙니다,Hahaha ... Das ist keine Falle.
10,7159,,Perché non c'è mai stato alcun tesoro.,因為從一開始，就不存在什麼寶藏啊。,,왜냐면 처음부터 보물같은 건 존재하지 않았으니까요,Weil es nie einen Schatz gegeben hat.
11,2020,,?!,！？,,!?,?!
12,3015,,Chi è quello?!,是誰！？,,누구냐!?,Wer ist da?!
13,3015,,Di là!,……！　在那裡嗎！？,,……! 거기냐!?,Dort drüben!
14,7293,,Ben fatto per essere arrivato fin qui.,還真厲害，能夠到達這裡啊。,,여기까지 잘 오셨습니다,"Respekt, dass ihr so weit gekommen seid."
15,7293,,"Apprezzo i tuoi sforzi, ma non ricordo
di averti invitato, Ispettore Date.","日本的警察果然都很優秀。
但是……我可沒有邀請妳的印象啊，
伊達警部補。",,"역시 일본의 경찰은 우수합니다.
허나……당신을 초대한 기억은 없습니다만, 다테 경보부","Euer Einsatz verdient Applaus, aber ich kann mich
nicht erinnern, dich eingeladen zu haben,
Kommissarin Date."
16,3015,,Sei tu... la Misteriosa Faccia Digitale?!,你是……怪人數碼面相！？！？,,네가…괴인 디지면상!?!?,Bist du das ... Mysteriöse Cybergesicht?!
17,2020,,?!,！？！？！？,,!?!?!?,?!
18,3015,,Come fai a essere qui? Dovresti essere in custodia!,"你為什麼會出現在這裡！
你這混帳，現在應該也正在被偵訊中才對吧！？",,"어째서 네가 여기에 있지!
네놈은 지금도 심문을 받고 있을 텐데!?","Wie kannst du hier sein? Du solltest in Haft
sitzen!"
19,3015,,A meno che...!,……該不會――！,,…설마――!,Es sei denn ...!
20,4061,,"Esatto. Ahahaha... Piacere di conoscerti! Io sono
il vero Volto Digitale Misterioso!","沒錯，呵呵……您好，初次見面！
我才是，真正的“怪人數碼面相”！",,"그 말대로. 후후후……처음 뵙겠습니다!
제가 진짜 ""괴인 디지면상""!","Ganz recht. Hahaha ... Freut mich, dich
kennenzulernen! Ich bin das wahre Mysteriöse
Cybergesicht!"
21,4061,,"La persona che hai arrestato non è altro che un'esca. Ci siamo
scambiati di posto proprio mentre il detective Matayoshi stava
per arrestarmi.","警察抓到的那位，只是我的替身……
是在快被又吉刑警抓到之前替換的呢。",,"경찰이 체포한 건 단순한 대역……
마타요시 형사에게 잡히기 직전에 바꿔쳤습니다","Die Person, die ihr verhaftet habt, ist nichts als
eine Ablenkung. Wir haben Plätze getauscht, als
Kommissar Matayoshi mich gerade festnehmen wollte."
22,3015,,"Ecco perché non rispondeva a nessuna delle nostre
domande!","竟然是假貨……！
難怪不論怎麼問都沒有進展……！",,"가짜였냐……!
어쩐지 뭘 물어도 진척이 안 된다 했지…!","Darum hat er also keine unserer Fragen
beantwortet!"
23,4061,,Il Detective Matayoshi non è qui?,比起這些……又吉刑警不在嗎？,,그보다……마타요시 형사는 오지 않으셨습니까?,Ist Kommissar Matayoshi nicht hier?
24,4061,,"Pensavo che il Matagi di Shinjuku fosse l'unico che
potesse decifrare il codice che ho dato alla mia esca.","我還以為，能夠解開替身所持有的暗號，
只有“新宿獵師刑警”才辦得到呢……",,"대역에게 준 암호를 푸는 건 ""신주쿠 마타기 형사"" 외엔
없을 거라고 생각하고 있었는데요…","Ich dachte, der Shinjuku-Matagi wäre der Einzige,
der in der Lage wäre, den Code zu knacken, den
ich meinem Stellvertreter gegeben habe."
25,3015,,Quindi questa è tutta una trappola per lui?!,"你這混帳……
該不會是想設陷阱，叫又吉叔過來吧！？",,"네놈…설마 마타요시 씨를 불러내 함정에 빠뜨리려는
속셈이었던 거냐!?",All das hier ist also eine Falle für ihn?!
26,3015,,"Qual è il tuo problema? Smettila di provocare la polizia!
Abbiamo cose migliori da fare!","你到底有什麼目的！
戲弄警察，也該有個限度！！",,"대체 뭐가 목적이냐!
경찰을 우롱하는 것도 적당히 해라!!","Was führst du im Schilde? Hör auf damit, die
Polizei zu verspotten! Wir haben Wichtigeres zu
tun!"
27,4061,,"Prenderti in giro? Haha, non è quello che sto cercando di fare.
Al contrario, in realtà.","戲弄……？呵呵，我可沒那意思。
倒不如說是，相反。",,"우롱해……?
후후, 그럴 생각은 없습니다. 오히려 반대입니다","Verspotten? Haha, das ist nicht, was ich erreichen
will. Eigentlich sogar das Gegenteil."
28,4061,,"So che sei un agente di polizia eccezionale,
e per questo ti ho sfidato.","我呢，伊達警部補……
可是知道警察的實力非常的厲害，
才會提出“挑戰”的啊。",,"저는 말이죠, 다테 경보부……
경찰의 실력이 굉장하다고 생각하고 있기에
""도전""을 하고 있는 겁니다","Ich weiß, dass du eine herausragende Polizistin
bist, also habe ich dich herausgefordert."
29,3015,,Di cosa stai parlando?!,你說什麼……！？,,뭐라고…!?,Wovon redest du?!
