ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,2020,,(Dov'è il cliente?),（委託人在哪裡呢……？）,,(의뢰인은 어디에 있을까…?),(Wo ist der Klient?)
2,7307,,È in ritardo! È in ritardo! È in ritardo! È in ritardo!,"好慢好慢好慢好──────────慢！
好────────────慢啊！",,"늦어늦어늦어늦――――――――――――――――――어!
늦어어어어어어어어어어어어어어―――――――――――――!","Er kommt zu spät! Zu spät, zu spät, zu spät!"
3,2020,,?!,！？,,!?,?!
4,7308,,Ehi tu! Quello con il logo a farfalla!,"等等，往那邊走的那位同學！
有蝴蝶標記的那邊的那位！",,"잠깐 거기 가는 거기 너!
나비 마크의 거기 너!",Du da! Mit dem Schmetterlingslogo!
5,7308,,Sei tuttofare di cui tutti parlano?,你該不會，就是傳說中的便利店！？,,혹시 소문으로 들리던 해결사라는 게 너야!?,"Bist du der Handyman, von dem alle
reden?"
6,7309,,"Lo immaginavo! Finalmente! Ti stavo aspettando da un'eternità
che ti facessi vivo! Non sai che è maleducazione far
aspettare una signorina?!","我就覺得是你！　好棒──────────！！
自從發出委託後，我就一直在這裡等你了喔──！
竟然讓女孩子等，這實在是很不行的唷──！！！",,"그럴 줄 알았지!  캬아악―――――――――――――――――!!
의뢰를 넣고 나서 계―――속 여기서 기다리고 있었다고―――――!
여자애를 기다리게 하면 안 된다고오――안 된다고오――!!!","Wusste ich’s doch! Endlich! Ich warte schon seit
Ewigkeiten auf dich! Weißt du nicht, dass es
unhöflich ist, eine Dame warten zu lassen?!"
7,2020,,?!?!,！？！？,,!?!?,?!?!
8,7309,,"Eh? Accetti casi anche quando non puoi venire
subito?","……嗯？　接受委託是要看你們的時間，
沒辦法馬上過來的？",,"…응? 의뢰를 수주하는 시기는 너희가 결정하기 때문에
바로 오는 것이 아니라고?","Was? Du nimmst Fälle sogar dann an, wenn du
nicht sofort anfangen kannst?"
9,7309,,Ora capisco!,……什麼嘛，原來是這樣子啊！,,"……뭐야아, 그런 거였구나!",Jetzt verstehe ich!
10,7309,,"Mirei mi ha detto che risolvi i problemi velocemente.
Pensavo intendesse che saresti venuto non appena avessi
presentato un caso!","米蕾那介紹了一位「會迅速解決掉委託事情的
便利店先生」，還以為委託的當下就會過來了。
是我搞錯了呢！",,"미레이가「의뢰받은 것을 스피드 해결해주는 해결사」
라고 소개하길래 의뢰한 순간 오는 줄 
착각하고 있었어!","Mirei hat mir erzählt, dass du Probleme schnell
löst. Ich dachte, sie meinte damit, dass du
kommst, sobald ich einen Fall ausschreibe!"
